Kadar Kafein,Tingkat Keasaman,Jenis Proses,Kualitas Kopi
71.6760503620249,4.505418825740149,Honey,Buruk
89.89910511221716,4.777715852801314,Honey,Buruk
101.78274001167985,5.987926039731267,Washed,Sedang
112.95835055926347,5.145614570099021,Natural,Baik
68.57136258845583,4.93429956409473,Honey,Buruk
72.7266602774093,4.953177192547368,Natural,Buruk
91.16054257378349,5.888206480370998,Washed,Baik
99.48898697141644,5.924611705247089,Washed,Sedang
100.61753482887407,5.484954926080997,Honey,Baik
95.09408775740263,5.928244920594161,Washed,Sedang
75.831033272589,4.99648239805965,Honey,Buruk
119.0021126953127,5.435730295093859,Honey,Baik
62.182890190925804,4.910930029645178,Honey,Buruk
103.58782737814906,5.356622393611498,Natural,Baik
108.24394426329576,5.6930513189003875,Washed,Sedang
71.22812387268361,4.685321073533445,Honey,Buruk
74.76348879238614,4.629122194149479,Honey,Buruk
62.73618309146071,4.747210152351291,Honey,Buruk
103.09980659295832,5.607910513748422,Washed,Buruk
90.67918035953785,5.8789230552321845,Washed,Sedang
120.16406642217636,5.380809807664359,Honey,Baik
109.19031664257336,5.69654886233338,Washed,Sedang
89.231844229985,4.9931053722398016,Honey,Buruk
80.94485142059236,4.76804818317206,Honey,Buruk
80.15184751538656,5.5804040257087495,Natural,Sedang
109.32946965146986,5.162591661013374,Natural,Baik
64.0911442676031,4.507272332833941,Honey,Buruk
64.1648151794823,4.820437372401607,Honey,Buruk
105.07940361536618,5.847987103046849,Washed,Buruk
62.213896942061965,4.776927142200661,Honey,Buruk
128.9689609922368,5.404198674058231,Natural,Baik
92.5880018728337,5.623865494750579,Washed,Sedang
104.22772674924288,5.40109849037702,Natural,Baik
116.40130838029839,5.092427227762763,Natural,Baik
64.28975046158507,4.880755315858736,Washed,Buruk
99.36416887721504,5.588555339703524,Washed,Sedang
105.45474901621301,5.091702254926717,Natural,Baik
110.23199053150776,5.056736760620295,Natural,Baik
122.82355145850693,5.280638598784748,Natural,Baik
118.2869300193969,5.251339511614431,Natural,Baik
124.51666600603647,5.277600405799731,Natural,Baik
104.3468461627367,5.244726380138782,Natural,Baik
71.8962834696381,4.811043350113937,Honey,Buruk
124.22320465492187,5.448045649961746,Natural,Baik
129.56951362331802,5.12102763575575,Natural,Baik
124.54044297767479,5.4303652916281715,Natural,Baik
66.70787515558358,4.981611269720306,Honey,Buruk
61.68909827045512,4.559408958134036,Honey,Buruk
82.81024303484277,5.683857901529716,Washed,Sedang
82.3813463779627,4.7916843825485795,Honey,Buruk
91.64509778619566,5.821644109221177,Natural,Sedang
88.59623756384853,5.795416630284505,Washed,Sedang
89.07907606857297,4.761548922085074,Honey,Buruk
127.24797657899961,5.119780945333487,Natural,Baik
86.90365229718036,4.7369808201314365,Honey,Buruk
64.02045685351922,4.51439133815667,Honey,Buruk
110.17089373146102,5.174604787306331,Natural,Baik
107.73824883145467,5.329992023017089,Natural,Baik
102.05213131411656,5.901740465192424,Washed,Sedang
129.08753883293676,5.387566411680558,Natural,Baik
88.86517645423626,4.687435289761852,Honey,Buruk
126.77676995469933,5.269671120957826,Honey,Baik
124.97327922401266,5.106169555339138,Natural,Baik
83.0233400413228,5.509110912825775,Washed,Sedang
99.05280952602931,5.522652004886022,Natural,Sedang
111.66031869068446,5.135674515886948,Natural,Baik
107.76339944800051,5.331261142176991,Natural,Baik
87.9818545006204,4.933031944750204,Honey,Buruk
127.8909295702772,5.404060189782209,Natural,Baik
82.83328882267786,5.841503386708179,Washed,Sedang
89.76199094477803,5.873245702559012,Washed,Sedang
105.5341001455057,5.6584610025781386,Washed,Sedang
63.525787403313146,4.824605151058032,Honey,Buruk
88.46103717713919,5.588719771889862,Washed,Sedang
97.10183510268095,5.548588246885385,Washed,Sedang
70.51762676419791,4.794958843427317,Honey,Buruk
102.70869310163225,5.417651247794619,Natural,Baik
101.22325424664292,5.295446471594121,Natural,Baik
103.59596102001048,5.168807585701814,Natural,Baik
64.41220442787113,4.963293812580747,Honey,Buruk
96.63062157534202,5.805860373117176,Washed,Sedang
103.8555858430611,5.635416125631037,Washed,Sedang
120.52699079536471,5.220076246869801,Natural,Baik
108.90859931267758,5.92650472773368,Washed,Sedang
107.12912631977198,5.36410817430593,Natural,Sedang
106.7613966553134,5.8155693129986314,Washed,Sedang
88.42317087322567,5.512157983215727,Washed,Sedang
108.54521483132403,5.018443473677267,Natural,Baik
118.22634555704315,5.085262061843646,Natural,Buruk
118.35558684167138,5.069746930326021,Natural,Baik
102.51844254922575,5.903417369633632,Washed,Sedang
84.84886142283841,5.94927709426354,Washed,Sedang
115.56371865230098,5.351509479447589,Natural,Baik
71.28778756592747,4.541750358349335,Washed,Buruk
121.20572031542852,5.364503584020493,Natural,Baik
101.95154778955839,5.474442768626667,Natural,Baik
108.20690724274873,5.78773708893794,Washed,Sedang
83.81181537955655,5.761121630027402,Washed,Sedang
75.6092310271138,4.88615919586782,Honey,Buruk
128.28729111737556,5.161601466010378,Washed,Baik
60.34060934302257,4.7343303209970635,Honey,Buruk
110.90888807137881,5.48589104136048,Natural,Baik
124.86212527455788,5.1783766633467945,Natural,Baik
